,Hotel
0,MAXX VALUE - HOTEL KOHINOOR CONTINENTAL
1,VITS Mumbai International Airport
2,The Leela Mumbai
3,Hotel Seven Hills
4,Novotel Mumbai International Airport
5,Niranta Transit Hotel Terminal 2 Arrivals/Landside
6,Hotel Oriental Aster- Mumbai International Airport
7,Residency Hotel Fort
8,Novotel Mumbai Juhu Beach
9,The Taj Mahal Tower Mumbai
10,"ITC Grand Central, a Luxury Collection Hotel, Mumbai"
11,Abode Bombay
12,JW Marriott Mumbai Sahar Airport
13,Trident Nariman Point
14,Hotel Bawa International
15,JW Marriott Mumbai Juhu
16,Grand Hyatt Mumbai Hotel and Residences
17,Hotel Suncity Residency
18,Sofitel Mumbai BKC
19,Hotel Linkway
20,Hotel Bawa Regency
21,"Holiday Inn Mumbai International Airport, an IHG Hotel"
22,The Paradise By Tunga
23,Hotel Kohinoor Elite near BKC
24,FabExpress Orange Suites Santacruz East
25,Taj Santacruz
26,FabHotel Babas Residency
27,President - IHCL SeleQtions
28,Ramada Plaza By Wyndham Palm Grove
29,"Marriott Executive Apartment - Lakeside Chalet, Mumbai"
